PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,33,7-14,2-5,2-2,5,7,12,6,5,1,2,2,-5,18
K. Durant,37,11-18,1-3,4-5,0,10,10,4,2,2,0,2,-13,27
Z. Pachulia,20,1-1,0-0,0-0,1,2,3,1,0,0,3,2,-3,2
S. Curry,34,9-18,3-10,5-6,0,3,3,4,0,0,4,1,-9,26
K. Thompson,33,5-13,1-6,0-0,0,1,1,2,0,0,1,4,-6,11
D. West,11,1-2,0-0,0-0,1,1,2,0,1,1,4,2,-13,2
K. Looney,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-6,0
A. Iguodala,27,1-3,0-2,0-0,1,1,2,3,1,0,1,3,-28,2
J. McGee,4,1-2,0-0,0-1,0,0,0,0,0,0,0,0,-6,2
A. Varejao,3,0-0,0-0,1-2,0,0,0,0,0,0,0,3,-8,1
P. McCaw,9,1-3,0-2,0-0,0,0,0,2,1,1,0,0,-4,2
S. Livingston,13,1-3,0-1,0-0,0,2,2,0,1,0,1,0,-15,2
I. Clark,13,2-8,0-4,1-2,0,0,0,2,0,1,0,0,-29,5
