PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,30,2-3,1-2,1-2,0,8,8,9,3,2,0,2,+24,6
K. Durant,31,9-15,0-3,2-3,1,4,5,2,4,1,2,3,+13,20
Z. Pachulia,19,2-3,0-0,1-2,1,5,6,2,0,0,0,0,+2,5
S. Curry,30,10-21,5-10,3-4,1,3,4,3,1,0,4,3,+24,28
K. Thompson,30,6-17,0-7,2-2,2,3,5,4,0,0,2,4,+4,14
D. West,11,2-3,0-0,0-0,0,4,4,3,1,1,0,0,+26,4
J. McAdoo,9,2-3,0-0,1-2,0,1,1,0,0,0,0,0,-11,5
K. Looney,8,1-3,0-0,0-0,2,2,4,1,0,0,1,2,-10,2
A. Iguodala,24,4-7,1-1,2-3,0,5,5,5,0,0,1,1,+39,11
J. McGee,6,2-3,0-0,0-0,0,0,0,1,0,0,2,0,-9,4
S. Livingston,18,2-3,0-0,2-2,0,1,1,5,2,0,3,2,-5,6
I. Clark,25,8-8,3-3,3-3,0,2,2,1,3,0,1,2,+18,22
