PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,29,2-9,0-2,5-6,4,6,10,5,1,4,4,3,+9,9
K. Durant,31,15-24,7-11,2-3,1,6,7,1,0,1,2,3,+21,39
Z. Pachulia,23,4-4,0-0,0-0,6,4,10,5,2,3,1,3,+5,8
S. Curry,30,6-14,2-6,7-8,0,1,1,7,2,1,1,1,+17,21
K. Thompson,33,7-14,4-8,0-0,1,0,1,3,2,1,2,3,+7,18
D. West,6,1-2,0-0,0-0,0,2,2,0,0,0,2,1,+17,2
J. McAdoo,7,0-2,0-0,0-0,0,0,0,1,0,1,0,0,-1,0
K. Looney,11,2-2,0-0,0-0,2,4,6,1,1,1,0,0,+0,4
A. Iguodala,25,1-5,0-1,1-2,0,3,3,2,0,1,1,1,+34,3
J. McGee,5,2-3,0-0,0-0,0,0,0,0,0,1,1,1,-3,4
A. Varejao,5,0-1,0-0,0-0,0,1,1,1,1,0,1,0,+0,0
S. Livingston,17,3-4,0-0,0-0,1,1,2,1,0,0,0,2,+15,6
I. Clark,19,3-5,1-2,1-1,0,3,3,0,0,0,0,0,+9,8
