PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,35,2-7,0-1,0-0,2,10,12,11,2,2,2,3,+4,4
K. Durant,37,8-17,1-4,5-6,1,2,3,5,1,1,4,0,+3,22
Z. Pachulia,11,1-2,0-0,0-0,0,1,1,1,0,0,1,2,-14,2
S. Curry,36,16-26,13-17,1-2,3,2,5,5,2,0,4,2,+7,46
K. Thompson,38,11-20,2-7,0-0,0,4,4,1,3,0,1,2,+3,24
D. West,14,3-5,0-0,2-2,3,1,4,2,3,0,1,1,+9,8
K. Looney,9,1-2,0-0,0-0,0,0,0,0,0,0,0,4,+3,2
A. Iguodala,31,0-4,0-4,2-2,0,4,4,8,3,0,1,1,+19,2
S. Livingston,17,2-4,0-0,0-0,1,2,3,0,0,0,0,2,+9,4
I. Clark,13,1-3,0-2,0-0,0,2,2,2,0,1,1,0,+7,2
