PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,35,6-11,4-6,0-1,1,9,10,4,0,2,1,3,+9,16
K. Durant,35,10-16,4-7,4-5,0,10,10,4,0,1,3,3,+20,28
Z. Pachulia,13,1-2,0-0,0-0,0,4,4,4,0,0,1,1,+3,2
S. Curry,31,8-12,4-8,4-4,0,3,3,6,1,0,5,1,+17,24
K. Thompson,29,8-13,4-7,0-0,0,2,2,4,0,0,3,5,+19,20
D. West,13,2-3,0-0,1-1,2,1,3,3,0,1,1,0,+14,5
J. McAdoo,4,0-1,0-1,0-0,0,1,1,0,0,0,0,0,-2,0
K. Looney,11,1-1,0-0,3-5,0,0,0,1,0,1,0,1,+4,5
A. Iguodala,13,1-2,0-1,0-0,1,1,2,2,1,1,0,0,+13,2
J. McGee,4,2-2,0-0,0-2,1,0,1,0,0,0,0,3,-2,4
P. McCaw,20,2-4,1-1,0-0,0,2,2,3,0,0,0,3,+2,5
S. Livingston,21,0-2,0-0,1-4,0,0,0,1,0,0,1,2,+6,1
I. Clark,12,2-5,0-2,0-0,0,1,1,1,1,0,0,0,+2,4
