PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,29,4-7,3-4,2-2,0,9,9,5,3,0,1,2,+22,13
K. Durant,30,8-16,0-3,2-2,2,7,9,5,1,2,1,2,+29,18
Z. Pachulia,14,2-2,0-0,0-0,2,2,4,0,4,0,1,2,+14,4
S. Curry,30,10-17,7-13,6-6,1,4,5,7,1,0,4,1,+27,33
K. Thompson,32,7-14,3-4,2-2,0,2,2,3,0,0,3,1,+24,19
D. West,13,2-3,0-0,1-2,0,0,0,1,2,0,2,3,+3,5
K. Looney,6,1-1,0-0,0-0,1,1,2,1,0,1,0,0,-2,2
A. Iguodala,23,1-4,0-1,0-0,0,3,3,4,2,0,0,2,+2,2
J. McGee,15,4-6,0-0,2-2,1,2,3,1,0,2,1,0,+6,10
A. Varejao,5,0-1,0-0,2-2,2,2,4,1,0,0,0,0,+0,2
P. McCaw,15,3-6,0-2,2-2,0,1,1,2,1,1,1,0,+4,8
S. Livingston,18,3-4,0-0,0-0,0,2,2,0,1,0,1,3,-6,6
I. Clark,11,1-4,1-3,0-0,0,0,0,3,0,0,0,2,-4,3
