PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,37,4-10,1-5,5-5,2,5,7,11,3,2,3,3,+20,14
K. Durant,38,10-21,2-5,7-7,0,9,9,5,1,2,4,2,+13,29
Z. Pachulia,12,1-3,0-0,2-2,1,5,6,1,0,0,0,2,-6,4
S. Curry,37,9-17,5-9,7-7,0,6,6,6,2,0,3,2,+22,30
K. Thompson,33,11-18,5-8,3-3,0,2,2,1,0,0,5,3,+2,30
D. West,6,1-2,0-0,0-0,0,1,1,1,0,0,1,0,-3,2
K. Looney,7,1-1,0-0,0-1,1,1,2,1,0,0,0,3,+6,2
A. Iguodala,24,1-4,1-3,1-2,0,3,3,3,0,1,0,1,+1,4
J. McGee,3,0-0,0-0,2-2,0,1,1,0,0,0,0,0,+3,2
P. McCaw,18,2-4,2-3,0-0,1,1,2,0,1,2,0,1,+4,6
S. Livingston,20,3-5,0-0,0-2,3,1,4,3,0,0,0,2,+4,6
I. Clark,5,2-2,0-0,0-0,0,0,0,0,1,0,0,1,-1,4
