PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,35,5-13,1-4,0-0,0,7,7,5,2,3,3,4,+1,11
K. Durant,36,11-21,3-8,5-6,2,7,9,6,1,0,4,3,-6,30
Z. Pachulia,16,2-3,0-0,4-4,0,1,1,2,0,0,1,4,+7,8
S. Curry,37,10-19,3-9,12-13,2,1,3,7,1,0,3,3,+5,35
K. Thompson,32,4-15,3-11,4-4,1,3,4,1,0,1,0,1,-9,15
D. West,16,3-4,0-0,0-0,0,2,2,1,1,1,0,1,+8,6
A. Iguodala,25,4-4,2-2,0-0,0,3,3,6,2,1,1,1,+15,10
J. McGee,4,2-4,0-0,0-0,1,0,1,0,0,0,0,4,-5,4
P. McCaw,21,2-3,1-2,0-0,0,2,2,2,1,1,0,3,-3,5
S. Livingston,18,1-1,0-0,1-1,1,2,3,3,1,0,0,1,+17,3
