PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,35,3-11,2-6,3-4,1,7,8,8,1,1,1,3,+14,11
K. Durant,33,10-13,1-2,2-4,1,9,10,7,3,1,2,1,+32,23
Z. Pachulia,21,2-5,0-0,0-0,4,8,12,3,2,0,1,1,+19,4
S. Curry,36,7-20,2-10,0-0,0,2,2,7,3,2,2,4,+19,16
K. Thompson,31,12-21,3-6,1-1,1,4,5,3,0,0,2,2,+28,28
D. West,13,2-5,0-0,0-0,0,2,2,0,0,1,1,2,+1,4
J. McAdoo,8,1-1,0-0,0-0,0,1,1,1,0,0,0,0,-8,2
A. Iguodala,22,4-7,0-1,0-1,1,5,6,2,0,0,0,1,-1,8
P. McCaw,16,1-3,0-2,0-0,0,1,1,0,0,0,1,2,-14,2
S. Livingston,18,1-2,0-0,1-2,0,2,2,2,1,2,1,3,-12,3
I. Clark,7,1-2,1-1,0-0,1,0,1,0,0,0,0,1,+2,3
