PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,36,3-7,0-1,4-4,1,1,2,5,3,2,2,3,+10,10
K. Durant,36,10-17,5-8,8-11,0,6,6,5,2,1,0,5,+4,33
Z. Pachulia,17,2-7,0-0,0-0,6,4,10,4,1,0,2,3,+5,4
S. Curry,35,7-21,1-11,5-5,0,5,5,5,1,0,3,4,+1,20
K. Thompson,38,9-17,5-10,6-6,0,3,3,2,0,0,3,1,+21,29
D. West,12,3-4,0-0,1-2,4,3,7,3,0,1,1,3,+6,7
K. Looney,4,0-3,0-0,0-0,1,1,2,0,0,0,0,2,-16,0
A. Iguodala,25,4-8,2-5,0-0,2,1,3,3,1,0,0,1,-8,10
J. McGee,5,2-2,0-0,1-2,1,2,3,0,0,1,0,0,+4,5
P. McCaw,17,1-4,1-3,0-0,1,0,1,1,0,0,1,2,-18,3
S. Livingston,15,1-5,0-0,1-2,2,1,3,2,0,0,0,1,+6,3
