PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,26,5-7,1-2,1-3,0,8,8,4,3,1,2,3,+11,12
K. Durant,33,11-19,3-6,4-6,1,5,6,9,1,2,2,4,+36,29
Z. Pachulia,21,1-5,0-0,0-0,0,6,6,4,0,3,3,3,-2,2
S. Curry,36,8-17,4-10,4-4,2,3,5,5,3,0,3,1,+14,24
K. Thompson,33,7-17,1-6,3-4,0,7,7,0,0,0,1,1,+35,18
D. West,11,1-1,0-0,0-0,1,1,2,3,1,0,2,4,+7,2
J. McAdoo,2,1-1,0-0,0-0,0,0,0,0,0,1,0,0,+4,2
K. Looney,13,3-3,0-0,0-0,0,1,1,0,1,2,0,1,+7,6
A. Iguodala,24,3-5,0-1,0-0,0,4,4,4,1,0,1,0,+15,6
J. McGee,6,0-0,0-0,0-0,0,2,2,0,0,1,1,1,+5,0
P. McCaw,12,1-2,1-2,0-0,0,1,1,1,0,0,1,2,-11,3
S. Livingston,15,1-4,0-0,0-0,0,2,2,1,0,0,1,1,+8,2
I. Clark,9,1-2,1-1,0-0,0,0,0,0,0,0,0,0,-9,3
