PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
K. Durant,38,10-17,3-4,5-5,3,7,10,5,0,6,3,1,+9,28
K. Looney,18,2-3,0-0,2-2,1,2,3,2,1,0,0,1,+8,6
Z. Pachulia,25,2-6,0-0,2-2,1,3,4,3,1,1,0,1,+14,6
S. Curry,37,13-19,4-8,4-4,1,7,8,6,2,0,6,4,+16,34
K. Thompson,38,9-17,4-9,1-2,1,5,6,2,1,0,2,1,+10,23
D. West,9,1-2,0-0,0-2,1,1,2,2,1,0,2,1,-3,2
A. Iguodala,23,0-2,0-1,0-0,0,1,1,3,2,0,2,2,+5,0
J. McGee,11,4-5,0-0,0-0,2,3,5,1,0,1,2,1,+11,8
A. Varejao,4,1-2,0-0,0-0,0,1,1,0,0,0,0,0,-7,2
P. McCaw,13,1-1,0-0,0-0,1,1,2,0,1,0,0,0,-4,2
S. Livingston,23,2-7,0-0,0-0,1,2,3,1,0,0,1,2,+6,4
